"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002250","GO:0002250","adaptive immune response","76/1276","354/13486",5.01270988662711e-12,2.09531273261013e-09,1.55877689018361e-09,"CD74/TXK/NFKB2/IL4R/LAMP3/RAPGEF3/CEACAM1/ARG2/P2RX7/ICAM1/JAG1/PYCARD/RELB/IL4I1/EBI3/JAK3/HPX/IL23A/C7/IL1R1/TNFAIP3/TNFSF18/PTK2B/ADCY7/IRF1/IL1B/CD70/C3/RFTN1/RSAD2/IL6/HLX/TLR4/IL33/TNFRSF21/CD226/MR1/MCOLN2/ICOSLG/ALOX15/CTSS/ZC3H12A/ERAP2/RAET1E/NOD2/NFKBID/JUNB/C1S/IFNE/PDCD1LG2/CD247/RAET1G/HLA-DMA/GNL1/HLA-E/CFI/HLA-C/HLA-C/HLA-A/DENND1B/HLA-A/HLA-C/C4A/C4B/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-DPA1/HLA-F/LYN/IRF7/TRAC/C1R",76
"GO:0044057","GO:0044057","regulation of system process","79/1276","379/13486",9.14455613112867e-12,3.52839181182626e-09,2.62489485707297e-09,"ABCC8/SCN4A/EHD3/CELF2/PKP2/CAMK2B/ATP2B4/TBXAS1/LMCD1/SREBF1/ENO1/CHRNA3/MYL9/TRPV4/MYL2/BVES/HBEGF/IGFBP5/EPAS1/FAAH/SGK1/CASQ2/NR4A3/FKBP1B/PTK2B/POPDC2/EGR2/KCNJ2/MYRF/FGF13/APOE/ACE2/AGT/CYP19A1/MSTN/ITGAX/IGSF11/ANK2/TNFRSF21/ADD3/ADM/TMEM25/PTPRO/KCNE4/GPD1L/GRM1/DAB2/FBXO32/NEUROD1/INHBB/UCN/ZC3H12A/GUCY1A1/ITGA2/TMEM100/BDKRB2/NPNT/NPR1/ADRA1B/SLN/ADRA1D/SPHK1/GBA1/GPR35/NRXN1/KCNE1/GJC1/BEGAIN/CTNNA3/KCNJ12/KCND2/PRKG1/TRDN/NLGN3/HRH1/AQP1/APELA/SHANK3/YWHAE",79
"GO:0002699","GO:0002699","positive regulation of immune effector process","53/1276","211/13486",2.02060292300346e-11,7.23953161556097e-09,5.38574237747915e-09,"CD74/GAB2/STXBP2/IL4R/P2RX7/PYCARD/RIGI/HPX/IL23A/IL1R1/VAMP8/NR4A3/TRIM6/IL1B/C3/DNAJB9/IRF5/RSAD2/IL6/HLX/TLR4/IL33/DDX60/RBP4/CD226/MR1/ENPP3/SPON2/LAPTM5/RAET1E/NOD2/NFKBID/LGALS9/ITGAM/RASGRP1/LACC1/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/DENND1B/HLA-A/HLA-C/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F/LYN/SEMA7A",53
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","74/1276","353/13486",3.19684822638484e-11,1.06902604690309e-08,7.95286102633983e-09,"CRLF1/CX3CL1/CCL26/NR1H4/CD74/BIRC3/FAS/TRAF1/TXK/IL4R/CEACAM1/CXCL2/OAS1/IRAK3/IL11/HCK/PYCARD/EBI3/JAK3/CCL24/CXCL12/HPX/OAS3/OAS2/IL1A/CCL20/IFIH1/STAT1/IL1R1/TNFAIP3/TNFSF18/PTK2B/TRIM6/CXCR4/H2BC11/EREG/IRF1/IL1B/CD70/CCR7/IRF5/IRAK2/OASL/IL6/IL33/PARP9/ACKR3/OSMR/IL2RG/IL34/MX1/LAPTM5/CXCL3/CXCL5/IFI27/AXL/CXCL10/CXCL11/CXCL8/STAT2/PARP14/CMKLR1/SPHK1/GPR35/IFNE/IFITM1/TNFRSF18/ISG15/CSNK2B/LYN/CD24/IFI27/IRF7/PADI2",74
"GO:2000147","GO:2000147","positive regulation of cell motility","89/1276","462/13486",3.93403237881418e-11,1.23331915075824e-08,9.17509525190543e-09,"ITGA3/CX3CL1/CCL26/SELE/SEMA3B/SNAI2/CD74/ADGRA2/LAMC2/NTN1/MYLK/MCAM/ICAM1/NRP1/PYCARD/CEMIP/PTN/CCL24/SERPINE1/DOCK8/CXCL12/SPOCK2/ACTA2/COL1A1/IL23A/TRPV4/HBEGF/FGF1/PDGFRB/IL1A/CCL20/FN1/IGFBP5/IL1R1/PROX1/NR4A3/TEK/TNFSF18/PTK2B/CXCR4/PLAU/TNFAIP6/IL1B/CCR7/RIN2/POSTN/PDGFRA/AGT/GPNMB/IL6/TLR4/ENPP2/MMP7/CYP1B1/MSTN/ITGAV/ITGAX/GRB7/ACKR3/DAB2/THY1/ADAMTS1/MMP14/IL34/PLPP3/TGFBR2/ZC3H12A/ITGA2/RET/LGALS9/ROR2/CXCL10/CXCL8/HAS2/INSM1/CMKLR1/SPHK1/FOXO4/TNFRSF18/C5AR1/PDGFA/AQP1/APELA/LYN/ITGB3/PECAM1/SEMA7A/SOD2/TCAF2",89
"GO:0030335","GO:0030335","positive regulation of cell migration","87/1276","448/13486",4.24849430670689e-11,1.25355573190834e-08,9.32564230171884e-09,"ITGA3/CX3CL1/CCL26/SELE/SEMA3B/SNAI2/CD74/ADGRA2/LAMC2/MYLK/MCAM/ICAM1/NRP1/PYCARD/CEMIP/PTN/CCL24/SERPINE1/DOCK8/CXCL12/ACTA2/COL1A1/IL23A/TRPV4/HBEGF/FGF1/PDGFRB/IL1A/CCL20/FN1/IGFBP5/IL1R1/PROX1/NR4A3/TEK/TNFSF18/PTK2B/CXCR4/PLAU/TNFAIP6/IL1B/CCR7/RIN2/POSTN/PDGFRA/AGT/GPNMB/IL6/TLR4/ENPP2/MMP7/CYP1B1/MSTN/ITGAV/ITGAX/GRB7/ACKR3/DAB2/THY1/ADAMTS1/MMP14/IL34/PLPP3/TGFBR2/ZC3H12A/ITGA2/RET/LGALS9/ROR2/CXCL10/CXCL8/HAS2/INSM1/CMKLR1/SPHK1/FOXO4/TNFRSF18/C5AR1/PDGFA/AQP1/APELA/LYN/ITGB3/PECAM1/SEMA7A/SOD2/TCAF2",87
"GO:0001819","GO:0001819","positive regulation of cytokine production","77/1276","381/13486",8.13784344564193e-11,2.26723037574722e-08,1.68667247587171e-08,"ABCC8/CX3CL1/NR1H4/POLR3B/CD74/TXK/IL4R/WNT11/P2RX7/OAS1/IRAK3/NLRP1/PYCARD/EBI3/SERPINE1/RIGI/BMPR1A/POU2AF1/IL23A/TRPV4/OAS3/OAS2/POLR3G/HHLA2/IL1A/IFIH1/STAT1/IL1R1/MYB/NR4A3/TRIM6/EREG/IRF1/IL1B/C3/CCR7/IRF5/RFTN1/CHI3L1/POSTN/RSAD2/AGT/IL6/TLR4/IL33/CYP1B1/CD226/PLA2R1/MCOLN2/GBP5/LY96/SPON2/LAPTM5/IFI16/UCN/NOD2/LGALS9/AFAP1L2/CD14/RASGRP1/LPL/SPHK1/LACC1/TIGIT/ISG15/C5AR1/RAET1G/HLA-E/HLA-A/DENND1B/HLA-A/HLA-E/HLA-F/HLA-DPA1/HLA-F/IRF7/SEMA7A",77
"GO:0040017","GO:0040017","positive regulation of locomotion","90/1276","476/13486",8.58799384752734e-11,2.26723037574722e-08,1.68667247587171e-08,"ITGA3/CX3CL1/CCL26/SELE/SEMA3B/SNAI2/CD74/ADGRA2/LAMC2/NTN1/MYLK/MCAM/ICAM1/NRP1/PYCARD/CEMIP/PTN/CCL24/SERPINE1/DOCK8/CXCL12/SPOCK2/ACTA2/COL1A1/IL23A/TRPV4/BVES/HBEGF/FGF1/PDGFRB/IL1A/CCL20/FN1/IGFBP5/IL1R1/PROX1/NR4A3/TEK/TNFSF18/PTK2B/CXCR4/PLAU/TNFAIP6/IL1B/CCR7/RIN2/POSTN/PDGFRA/AGT/GPNMB/IL6/TLR4/ENPP2/MMP7/CYP1B1/MSTN/ITGAV/ITGAX/GRB7/ACKR3/DAB2/THY1/ADAMTS1/MMP14/IL34/PLPP3/TGFBR2/ZC3H12A/ITGA2/RET/LGALS9/ROR2/CXCL10/CXCL8/HAS2/INSM1/CMKLR1/SPHK1/FOXO4/TNFRSF18/C5AR1/PDGFA/AQP1/APELA/LYN/ITGB3/PECAM1/SEMA7A/SOD2/TCAF2",90
"GO:1990868","GO:1990868","response to chemokine","22/1276","49/13486",1.00873850070962e-10,2.40944396169499e-08,1.79247016792763e-08,"CX3CL1/CCL26/CXCL2/CCL24/DOCK8/CXCL12/LOX/CCL20/PTK2B/CXCR4/CCR7/ACKR3/CXCL3/CXCL5/ZC3H12A/CXCL10/CXCL11/CXCL8/CMKLR1/GPR35/LYN/PADI2",22
"GO:1990869","GO:1990869","cellular response to chemokine","22/1276","49/13486",1.00873850070962e-10,2.40944396169499e-08,1.79247016792763e-08,"CX3CL1/CCL26/CXCL2/CCL24/DOCK8/CXCL12/LOX/CCL20/PTK2B/CXCR4/CCR7/ACKR3/CXCL3/CXCL5/ZC3H12A/CXCL10/CXCL11/CXCL8/CMKLR1/GPR35/LYN/PADI2",22
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","88/1276","464/13486",1.19047060257852e-10,2.71427297387902e-08,2.01924319911045e-08,"CX3CL1/CCL26/NR1H4/POLR3B/CD74/BIRC3/ALPK1/TXK/PAK3/OAS1/IRAK3/NLRP1/NRP1/HCK/PYCARD/PLAT/PTN/CCL24/SERPINE1/RIGI/CXCL12/MAP2K6/HPX/SLC15A3/IL23A/TRPV4/OAS3/POLR3G/PDGFRB/IFIH1/CNR1/TNFAIP3/VAMP8/FKBP1B/TNFSF18/PTK2B/TRIM6/CXCR4/PLAU/OPTN/NMI/EREG/IRF1/IL1B/C3/CCR7/RFTN1/IRAK2/RSAD2/PDGFRA/OASL/AGT/IL6/TLR4/IL33/DDX60/MSTN/PARP9/OSMR/CD226/GBP5/LY96/PIK3AP1/IL34/CTSS/IFI16/ITGA2/RAET1E/NOD2/LGALS9/CXCL10/CXCL8/CD14/TMEM126A/RASGRP1/CMKLR1/LPL/LACC1/PLA2G2A/C5AR1/C2CD4A/RAET1G/HLA-E/HLA-E/HLA-F/HLA-F/LYN/IRF7",88
"GO:0001525","GO:0001525","angiogenesis","82/1276","424/13486",1.94403419866395e-10,4.14612843694815e-08,3.08445087488063e-08,"TNMD/ABCC8/CX3CL1/ADGRA2/ATP2B4/NGFR/MCAM/FAP/RAPGEF3/CEACAM1/NRCAM/NRP1/JAG1/PPP1R16B/SFRP1/TSPAN12/CCL24/SERPINE1/BMPR1A/NR2E1/FGF1/PDGFRB/AMOTL2/IL1A/FN1/STAT1/EPAS1/TNFAIP3/TEK/TGFBI/PTK2B/ADGRB2/CXCR4/MMP19/EREG/IL1B/C3/CHI3L1/VAV3/PDGFRA/GPNMB/IL6/KLF4/CYP1B1/ITGAV/ITGAX/ACKR3/COL8A1/ADAM12/ADM/HMGA2/THY1/ADAMTS1/MMP14/CREB3L1/PLXDC1/TGFBR2/ZC3H12A/SHH/TMEM100/ANGPTL4/EFNA1/CXCL10/MINAR1/NPR1/CXCL8/LRG1/COL8A2/SPHK1/FZD8/APOLD1/EGR3/FOXO4/TNFAIP2/APOD/COL27A1/C5AR1/PDGFA/COL15A1/AQP1/APELA/ITGB3",82
"GO:0002685","GO:0002685","regulation of leukocyte migration","43/1276","161/13486",1.98379351050151e-10,4.14612843694815e-08,3.08445087488063e-08,"CX3CL1/SELE/CD74/ICAM1/SMPD3/PYCARD/PTN/CCL24/SERPINE1/DOCK8/CXCL12/IL23A/TRPV4/IL1A/CCL20/IL1R1/TNFSF18/PTK2B/TNFAIP6/CCR7/MTUS1/IL6/IL33/CYP19A1/MSTN/THY1/MMP14/IL34/ITGA2/NOD2/LGALS9/CXCL10/CXCL8/RAC3/FUT9/CMKLR1/TNFRSF18/APOD/C5AR1/DPP4/LYN/ITGB3/PADI2",43
"GO:0006959","GO:0006959","humoral immune response","36/1276","121/13486",2.28558628276123e-10,4.58580031773213e-08,3.41153826205834e-08,"CXCL2/EBI3/HPX/POU2AF1/C7/PI3/SLPI/H2BC11/IL1B/C3/CCR7/IL6/TNFRSF21/SPON2/CXCL3/CXCL5/NOD2/CXCL10/CXCL11/CXCL8/A2M/H2BC4/C1S/H2BC21/IFNE/H2BC12/HLA-E/CFI/HLA-A/HLA-A/C4A/C4B/HLA-E/CFB/H2BC6/C1R",36
"GO:0045785","GO:0045785","positive regulation of cell adhesion","76/1276","383/13486",2.65967901648131e-10,5.13113459487317e-08,3.81723162486892e-08,"ITGA3/CX3CL1/SELE/PLAUR/CD74/IL4R/COL16A1/NRP1/PYCARD/SFRP1/IL4I1/EBI3/DOCK8/CXCL12/SPOCK2/ZBTB16/IL23A/HHLA2/IL1A/FN1/NR4A3/TEK/TNFSF18/PTK2B/SDC4/IL1B/CD70/CCR7/LIF/RIN2/VAV3/IL6/HLX/ITGAV/ITPKB/COL8A1/IL2RG/DAB2/THY1/ABI3BP/F11R/ICOSLG/ALOX15/PLPP3/VCAM1/TGFBR2/FBLN2/ITGA2/SHH/RET/NOD2/NFKBID/NPNT/LGALS9/RAC3/HAS2/RASGRP1/EFEMP2/EGR3/TNFRSF18/DPP4/PDCD1LG2/TGM2/HLA-DMA/HLA-E/VIT/HLA-A/ARL2/HLA-A/HLA-DRA/HLA-E/HLA-DPA1/LYN/ITGB3/CD24/ECM2",76
"GO:0097529","GO:0097529","myeloid leukocyte migration","41/1276","151/13486",3.02078894966678e-10,5.61195458204763e-08,4.17493053667398e-08,"CX3CL1/CCL26/CD74/CXCL2/CCL24/SERPINE1/CXCL12/IL23A/TRPV4/IL1A/CCL20/IL1R1/TNFSF18/PTK2B/TNFAIP6/IL1B/CCR7/MTUS1/VAV3/IL6/CYP19A1/MSTN/PTPRO/MCOLN2/MMP14/IL34/CXCL3/CXCL5/NOD2/ROR2/CXCL10/CXCL11/CXCL8/RAC3/CMKLR1/C5AR1/DPP4/ITGA1/MSMP/LYN/PECAM1",41
"GO:0002237","GO:0002237","response to molecule of bacterial origin","57/1276","255/13486",4.85402152839907e-10,8.69563285230348e-08,6.46898733765967e-08,"ABCC8/CX3CL1/SELE/NR1H4/NFKB2/CXCL2/P2RX7/IRAK3/HCK/ACP5/PYCARD/SERPINE1/IL1A/GBP3/CNR1/TNFAIP3/TRIM6/SLPI/IL1B/CITED1/CCR7/ZFP36/IRF5/CD68/IRAK2/CMPK2/IL6/TLR4/CYP1A1/ADM/GBP5/LY96/SPON2/PTGIR/VCAM1/CXCL3/CXCL5/ZC3H12A/HPGD/GJB2/NOD2/AXL/LGALS9/CXCL10/CXCL11/CXCL8/FOS/CD14/TRIB1/PCSK1/SSC5D/C5AR1/PDCD1LG2/C4B/LYN/CD24/SOD2",57
"GO:0060326","GO:0060326","cell chemotaxis","49/1276","204/13486",6.17116355698225e-10,1.03750698812775e-07,7.71837965439619e-08,"CX3CL1/CCL26/CD74/CXCL2/NRP1/PTN/CCL24/SERPINE1/CXCL12/IL23A/TRPV4/HBEGF/LOX/FGF1/PDGFRB/CCL20/TNFSF18/PTK2B/CXCR4/TNFAIP6/IL1B/CCR7/MTUS1/VAV3/PDGFRA/IL6/CYP19A1/CH25H/MSTN/ACKR3/PTPRO/IL34/VCAM1/CXCL3/CXCL5/NOD2/LGALS9/CXCL10/CXCL11/CXCL8/RAC3/CMKLR1/EGR3/C5AR1/DPP4/ITGA1/MSMP/LYN/PADI2",49
"GO:0097530","GO:0097530","granulocyte migration","30/1276","92/13486",6.20518533569228e-10,1.03750698812775e-07,7.71837965439619e-08,"CX3CL1/CCL26/CD74/CXCL2/CCL24/IL23A/TRPV4/IL1A/CCL20/IL1R1/TNFSF18/TNFAIP6/IL1B/CCR7/VAV3/MSTN/MCOLN2/IL34/CXCL3/CXCL5/NOD2/CXCL10/CXCL11/CXCL8/RAC3/CMKLR1/C5AR1/DPP4/ITGA1/PECAM1",30
"GO:0042742","GO:0042742","defense response to bacterium","43/1276","167/13486",6.95544034127886e-10,1.12543512102757e-07,8.37250798296555e-08,"NR1H4/ARG2/P2RX7/OAS1/NLRP1/ACP5/PYCARD/SERPINE1/IL23A/OAS3/OAS2/CCL20/GBP3/GBP1/OPTN/PI3/SLPI/H2BC11/IL1B/VGF/BPIFA2/IL6/TLR4/LCN2/MR1/GBP5/SPON2/GBP4/NOD2/SSC5D/H2BC4/H2BC21/IFNE/ISG15/PLA2G2A/C5AR1/H2BC12/HLA-E/HLA-A/HLA-A/HLA-E/AQP1/H2BC6",43
