"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045766","GO:0045766","positive regulation of angiogenesis","12/270","127/12803",1.51293892265763e-05,0.00259349582689258,0.00226982748064092,"SEMA5A/HYAL1/F3/ADM2/CHI3L1/KLF4/THBS1/ANXA3/CXCL8/AQP1/APELA/ITGB3",12
"GO:1904018","GO:1904018","positive regulation of vasculature development","12/270","127/12803",1.51293892265763e-05,0.00259349582689258,0.00226982748064092,"SEMA5A/HYAL1/F3/ADM2/CHI3L1/KLF4/THBS1/ANXA3/CXCL8/AQP1/APELA/ITGB3",12
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","18/270","269/12803",1.60513379489466e-05,0.00261396038498596,0.00228773806135513,"ARX/CCL26/NGFR/RAP1GAP/PPP1R16B/SFRP1/CAV1/SEMA5A/HYAL1/F3/KLF9/THBS1/TGFA/ATOH8/APLN/NUPR1/APELA/ITGB3",18
"GO:0008016","GO:0008016","regulation of heart contraction","12/270","133/12803",2.4132240852378e-05,0.0037427956407712,0.00327569464803207,"CAV1/MYL2/RGS4/CASQ2/ADM2/ATP1B2/TRPM4/SPX/RNF207/APLN/RYR2/APELA",12
"GO:0002043","GO:0002043","blood vessel endothelial cell proliferation involved in sprouting angiogenesis","5/270","18/12803",2.74976673205153e-05,0.00396838317640994,0.00347312885339046,"NGFR/PPP1R16B/SEMA5A/THBS1/APELA",5
"GO:0006720","GO:0006720","isoprenoid metabolic process","10/270","94/12803",2.80235839906136e-05,0.00396838317640994,0.00347312885339046,"CYP26B1/FDFT1/CYP26A1/HMGCS1/RBP1/CYP1A1/LSS/DHRS3/PLB1/CEL",10
"GO:0044057","GO:0044057","regulation of system process","20/270","349/12803",5.1034961848777e-05,0.00690975984525851,0.00604742163791673,"CAMK2B/CAV1/MYL2/RGS4/CASQ2/ADM2/ATP1B2/TRPM4/SPX/CCN3/RNF207/INHBB/APLN/C1QTNF1/GSX2/BEGAIN/RYR2/AQP1/APELA/GRIN2B",20
"GO:0001935","GO:0001935","endothelial cell proliferation","11/270","122/12803",5.30377636264853e-05,0.00690975984525851,0.00604742163791673,"CCL26/NGFR/PPP1R16B/CAV1/SEMA5A/F3/THBS1/ATOH8/APLN/APELA/ITGB3",11
"GO:0001523","GO:0001523","retinoid metabolic process","7/270","50/12803",7.89423251576417e-05,0.00974686500893852,0.00853045600381543,"CYP26B1/CYP26A1/RBP1/CYP1A1/DHRS3/PLB1/CEL",7
"GO:0016114","GO:0016114","terpenoid biosynthetic process","4/270","12/12803",8.37925146608163e-05,0.00974686500893852,0.00853045600381543,"HMGCS1/RBP1/CYP1A1/LSS",4
"GO:1903587","GO:1903587","regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","4/270","12/12803",8.37925146608163e-05,0.00974686500893852,0.00853045600381543,"NGFR/PPP1R16B/THBS1/APELA",4
"GO:0008543","GO:0008543","fibroblast growth factor receptor signaling pathway","7/270","51/12803",8.98730025500852e-05,0.0100936679070906,0.00883397789131146,"NGFR/CCN2/THBS1/FGFR4/APLN/FGFBP3/FLRT2",7
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","23/270","456/12803",0.000100225954293753,0.0108811977711585,0.0095232240079819,"CYP26B1/SLC4A4/CYP26A1/PNPLA3/TRIB3/CAV1/RBP1/ACSS2/CYP1A1/HKDC1/FGFR4/ALOX15/HPGD/ACSF2/NUPR1/ACOT1/INSIG1/HSD17B8/IER3/IER3/SLC27A3/SESN2/PCK2",23
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","6/270","37/12803",0.000111655693616606,0.0110728832302563,0.0096909871168282,"CAV1/CASQ2/ATP1B2/TRPM4/RNF207/RYR2",6
"GO:0016101","GO:0016101","diterpenoid metabolic process","7/270","53/12803",0.000115437842970883,0.0110728832302563,0.0096909871168282,"CYP26B1/CYP26A1/RBP1/CYP1A1/DHRS3/PLB1/CEL",7
"GO:0071417","GO:0071417","cellular response to organonitrogen compound","24/270","492/12803",0.00011824604979284,0.0110728832302563,0.0096909871168282,"CPS1/NGFR/ACHE/PNPLA3/TRIB3/SFRP1/CAV1/GRB14/RGS4/CASQ2/DNAI1/KLF2/GDF15/TRPM4/HCN3/LYPD1/INHBB/INSIG1/RYR2/TGM2/AQP1/ITGB3/SESN2/PCK2",24
"GO:0010817","GO:0010817","regulation of hormone levels","19/270","342/12803",0.000118541976743355,0.0110728832302563,0.0096909871168282,"CYP26B1/GIPR/CYP26A1/SFRP1/RBP1/TRPM4/HSD17B3/CCN3/CYP1A1/ABCA12/DHRS3/INHBB/PLB1/CEL/C1QTNF1/PCLO/HSD17B8/AQP1/PCK2",19
"GO:0048385","GO:0048385","regulation of retinoic acid receptor signaling pathway","4/270","13/12803",0.000119031744846118,0.0110728832302563,0.0096909871168282,"CYP26B1/CYP26A1/KLF2/DHRS3",4
"GO:0060047","GO:0060047","heart contraction","12/270","157/12803",0.000122389866837343,0.0110728832302563,0.0096909871168282,"CAV1/MYL2/RGS4/CASQ2/ADM2/ATP1B2/TRPM4/SPX/RNF207/APLN/RYR2/APELA",12
"GO:1903522","GO:1903522","regulation of blood circulation","12/270","162/12803",0.000164679514881169,0.0144962481072424,0.0126871159686545,"CAV1/MYL2/RGS4/CASQ2/ADM2/ATP1B2/TRPM4/SPX/RNF207/APLN/RYR2/APELA",12
"GO:0045744","GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","6/270","40/12803",0.000174843069820347,0.0149858915369702,0.0131156518856925,"GIPR/ARRDC3/RGS4/CXCL8/APLN/APELA",6
"GO:0003015","GO:0003015","heart process","12/270","167/12803",0.000218888874707273,0.0178967941746594,0.015663273798936,"CAV1/MYL2/RGS4/CASQ2/ADM2/ATP1B2/TRPM4/SPX/RNF207/APLN/RYR2/APELA",12
"GO:0042573","GO:0042573","retinoic acid metabolic process","4/270","15/12803",0.000219794831742824,0.0178967941746594,0.015663273798936,"CYP26B1/CYP26A1/RBP1/CYP1A1",4
"GO:0045444","GO:0045444","fat cell differentiation","13/270","195/12803",0.000253172582045341,0.0201117829200408,0.0176018318916247,"PNPLA3/TRIB3/SFRP1/WNT5B/FAM120B/TRPM4/KLF4/JDP2/RORC/INHBB/DDIT3/INSIG1/PSMB8",13
"GO:0071805","GO:0071805","potassium ion transmembrane transport","10/270","123/12803",0.000272354662946015,0.0211204556479802,0.0184846222370378,"CAV1/RGS4/CASQ2/ATP1B2/HCN3/RNF207/KCNMB3/KCNJ10/AQP1/KCNT2",10
"GO:0010460","GO:0010460","positive regulation of heart rate","4/270","16/12803",0.000288222305674184,0.0218311639437399,0.0191066341191111,"RGS4/ADM2/TRPM4/RYR2",4
"GO:0051592","GO:0051592","response to calcium ion","9/270","102/12803",0.000298815972821608,0.0221191732609086,0.0193586998660506,"GIPR/CAV1/CASQ2/THBS1/ALOX15/INHBB/KCNMB3/CPNE7/RYR2",9
"GO:0048545","GO:0048545","response to steroid hormone","15/270","256/12803",0.000352259502486225,0.0254957599910585,0.0223138884849753,"CPS1/SFRP1/CAV1/LOX/KLF9/PMEPA1/THBS1/ANXA3/ALPL/PAQR8/HSPA1B/LBH/HSPA1B/AQP1/PCK2",15
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","17/270","315/12803",0.000378391019032117,0.0267917293258175,0.0234481208132488,"CCL26/CCN2/CCR7/GADD45G/GDF15/CHI3L1/GPNMB/THBS1/IGFBP4/FGFR4/ALOX15/TGFA/IGFBP6/C1QTNF1/APELA/ITGB3/CD24",17
"GO:0002027","GO:0002027","regulation of heart rate","7/270","65/12803",0.000420529256915692,0.0291417827611576,0.0255048875190973,"CAV1/RGS4/CASQ2/ADM2/TRPM4/SPX/RYR2",7
"GO:0048384","GO:0048384","retinoic acid receptor signaling pathway","5/270","31/12803",0.000435733365131645,0.0295663243798702,0.0258764463328179,"CYP26B1/RARB/CYP26A1/KLF2/DHRS3",5
"GO:0086019","GO:0086019","cell-cell signaling involved in cardiac conduction","4/270","18/12803",0.000468743398502799,0.0311570867127269,0.0272686814854045,"CASQ2/TRPM4/RNF207/RYR2",4
"GO:0008015","GO:0008015","blood circulation","17/270","325/12803",0.000540713995106559,0.0352221096412412,0.0308263894473381,"CPS1/CAV1/MYL2/RGS4/CASQ2/KLF2/ADM2/ATP1B2/TRPM4/SPX/RNF207/APLN/FGFBP3/RYR2/IER3/IER3/APELA",17
"GO:0086005","GO:0086005","ventricular cardiac muscle cell action potential","4/270","19/12803",0.000583960821183982,0.0372933410705143,0.0326391311406857,"CAV1/TRPM4/RNF207/RYR2",4
"GO:0140115","GO:0140115","export across plasma membrane","6/270","50/12803",0.000606968570558527,0.0380172429674831,0.0332726900621962,"SLC4A4/SLC22A18/ABCG2/ATP1B2/SLC22A18/KCNT2",6
"GO:0006813","GO:0006813","potassium ion transport","10/270","137/12803",0.000643539709203548,0.0395473364693577,0.0346118278554758,"CAV1/RGS4/CASQ2/ATP1B2/HCN3/RNF207/KCNMB3/KCNJ10/AQP1/KCNT2",10
"GO:0019755","GO:0019755","one-carbon compound transport","5/270","34/12803",0.000677720242316961,0.0408765709115989,0.0357751738049577,"SLC4A4/AQP6/CYB5R2/CA4/AQP1",5
"GO:0003013","GO:0003013","circulatory system process","19/270","395/12803",0.000722297990404517,0.0427731737226821,0.0374350805361805,"CPS1/SLC4A4/CAV1/MYL2/RGS4/CASQ2/ABCG2/KLF2/ADM2/ATP1B2/TRPM4/SPX/RNF207/APLN/FGFBP3/RYR2/IER3/IER3/APELA",19
"GO:0045926","GO:0045926","negative regulation of growth","12/270","193/12803",0.000810557539541259,0.0465590446193355,0.0407484746470471,"SFRP1/MYL2/SEMA5A/HYAL1/RGS4/GDF15/CCN3/OSGIN1/MT1E/HSPA1B/HSPA1B/SESN2",12
"GO:0010035","GO:0010035","response to inorganic substance","19/270","399/12803",0.000814819018514623,0.0465590446193355,0.0407484746470471,"GIPR/CPS1/CAV1/CASQ2/CCR7/KLF2/NT5E/THBS1/CYP1A1/ALOX15/ALPL/INHBB/MT1E/KCNMB3/KCNJ10/CPNE7/COL18A1/RYR2/AQP1",19
"GO:0044342","GO:0044342","type B pancreatic cell proliferation","4/270","21/12803",0.000872271093820831,0.0489825336650767,0.0428695121972198,"SFRP1/CCN3/IGFBP4/NUPR1",4
